Date	Total Active(without ICU, ICUV, ICVO)	Total discharged	Total deceased	Total ICU
09+AC0-03+AC0-2021	6918	936616	12373	115
10+AC0-03+AC0-2021	7341	936947	12379	115
11+AC0-03+AC0-2021	7721	937353	12381	110
12+AC0-03+AC0-2021	7989	937898	12386	125
13+AC0-03+AC0-2021	7919	938890	12387	123
14+AC0-03+AC0-2021	8239	939499	12390	125
15+AC0-03+AC0-2021	8735	939928	12397	125
16+AC0-03+AC0-2021	9299	940489	12403	129
17+AC0-03+AC0-2021	10086	940968	12407	134
18+AC0-03+AC0-2021	11228	941309	12415	131
19+AC0-03+AC0-2021	11936	942178	12425	131
20+AC0-03+AC0-2021	12694	943208	12432	134
21+AC0-03+AC0-2021	13356	944256	12434	137
22+AC0-03+AC0-2021	14131	944917	12444	136
23+AC0-03+AC0-2021	15459	945594	12449	136
24+AC0-03+AC0-2021	16743	946589	12461	143
25+AC0-03+AC0-2021	18057	947781	12471	150
26+AC0-03+AC0-2021	19379	948988	12484	174
27+AC0-03+AC0-2021	21056	950167	12492	196
28+AC0-03+AC0-2021	22833	951452	12504	204
29+AC0-03+AC0-2021	23622	953416	12520	227
30+AC0-03+AC0-2021	25301	954678	12541	240
31+AC0-03+AC0-2021	28162	956170	12567	266
01+AC0-04+AC0-2021	30600	957769	12585	265
02+AC0-04+AC0-2021	33950	959400	12591	269
03+AC0-04+AC0-2021	36287	961359	12610	327
04+AC0-04+AC0-2021	38761	963419	12625	331
05+AC0-04+AC0-2021	42138	965275	12657	345
06+AC0-04+AC0-2021	44756	968762	12696	351
07+AC0-04+AC0-2021	48901	971556	12731	353
08+AC0-04+AC0-2021	53038	973949	12767	357
09+AC0-04+AC0-2021	57706	977169	12813	378
10+AC0-04+AC0-2021	61248	980519	12849	405
11+AC0-04+AC0-2021	68785	983157	12889	440
12+AC0-04+AC0-2021	75515	985924	12941	470
13+AC0-04+AC0-2021	78143	992003	13008	474
14+AC0-04+AC0-2021	84974	996367	13046	506
15+AC0-04+AC0-2021	96006	999958	13112	555
16+AC0-04+AC0-2021	106738	1003985	13190	577
17+AC0-04+AC0-2021	118571	1009549	13270	589
18+AC0-04+AC0-2021	132923	1014152	13351	620
19+AC0-04+AC0-2021	141363	1021250	13497	721
20+AC0-04+AC0-2021	158407	1025821	13646	751
21+AC0-04+AC0-2021	175284	1032233	13762	904
22+AC0-04+AC0-2021	194993	1037857	13885	1043
23+AC0-04+AC0-2021	213183	1046554	14075	1128
24+AC0-04+AC0-2021	233203	1055612	14283	1280
25+AC0-04+AC0-2021	260670	1062594	14426	1492
26+AC0-04+AC0-2021	279227	1073257	14627	1815
27+AC0-04+AC0-2021	299836	1084050	14807	2063
28+AC0-04+AC0-2021	326692	1095883	15036	2192
29+AC0-04+AC0-2021	347065	1110025	15306	2431
30+AC0-04+AC0-2021	382690	1124909	15523	
01+AC0-05+AC0-2021	405068	1143250	15794	
02+AC0-05+AC0-2021	421436	1164398	16011	
03+AC0-05+AC0-2021	444734	1185299	16250	
04+AC0-05+AC0-2021	464363	1210013	16538	
05+AC0-05+AC0-2021	487288	1236854	16884	
06+AC0-05+AC0-2021	517075	1255797	17212	
07+AC0-05+AC0-2021	536641	1284420	17804	
08+AC0-05+AC0-2021	548841	1319301	18286	
09+AC0-05+AC0-2021	564485	1351097	18776	
10+AC0-05+AC0-2021	571006	1383285	19732	
11+AC0-05+AC0-2021	587452	1405869	19852	
12+AC0-05+AC0-2021	592182	1440145	20368	
13+AC0-05+AC0-2021	593078	1474678	20712	
14+AC0-05+AC0-2021	598605	1510557	21085	
15+AC0-05+AC0-2021	605494	1544982	21434	
16+AC0-05+AC0-2021	600147	1581457	21837	
17+AC0-05+AC0-2021	603639	1616092	22313	
18+AC0-05+AC0-2021	575028	1674487	22838	
19+AC0-05+AC0-2021	558890	1724438	23306	
20+AC0-05+AC0-2021	534954	1776695	23854	
21+AC0-05+AC0-2021	514238	1829276	24207	
22+AC0-05+AC0-2021	483204	1891042	24658	
23+AC0-05+AC0-2021	472986	1926615	25282	
24+AC0-05+AC0-2021	440435	1983948	25811	
25+AC0-05+AC0-2021	424381	2022172	26399	
26+AC0-05+AC0-2021	409924	2062910	26929	
27+AC0-05+AC0-2021	402203	2094369	27405	
28+AC0-05+AC0-2021	372373	2146621	27806	
29+AC0-05+AC0-2021	350066	2189064	28928	
30+AC0-05+AC0-2021	342010	2217117	28679	
31+AC0-05+AC0-2021	313730	2261590	29090	
01+AC0-06+AC0-2021	298299	2290861	29554	
02+AC0-06+AC0-2021	293024	2312060	30017	
03+AC0-06+AC0-2021	286798	2336096	30531	
04+AC0-06+AC0-2021	280186	2358412	30895	
05+AC0-06+AC0-2021	268275	2383758	31260	
06+AC0-06+AC0-2021	254505	2409417	31580	
07+AC0-06+AC0-2021	238824	2436716	31920	
08+AC0-06+AC0-2021	225004	2460165	32099	
09+AC0-06+AC0-2021	215525	2480411	32291	
10+AC0-06+AC0-2021	210652	2496132	32485	
11+AC0-06+AC0-2021	203769	2511105	32644	
12+AC0-06+AC0-2021	191796	2532719	32788	
13+AC0-06+AC0-2021	180835	2551365	32913	
14+AC0-06+AC0-2021	172141	2566774	33033	
15+AC0-06+AC0-2021	162282	2581559	33148	
16+AC0-06+AC0-2021	151566	2599472	33296	
17+AC0-06+AC0-2021	146726	2610157	33434	
18+AC0-06+AC0-2021	137050	2625447	33602	
19+AC0-06+AC0-2021	130872	2637279	33763	
20+AC0-06+AC0-2021	126813	2645735	33883	
21+AC0-06+AC0-2021	123134	2654139	34025	
22+AC0-06+AC0-2021	118592	2662250	34164	
23+AC0-06+AC0-2021	116450	2668705	34287	
24+AC0-06+AC0-2021	110523	2678473	34425	
25+AC0-06+AC0-2021	107195	2684997	34539	
26+AC0-06+AC0-2021	105226	2691123	34654	
27+AC0-06+AC0-2021	101042	2698822	34743	
28+AC0-06+AC0-2021	97592	2704755	34836	
29+AC0-06+AC0-2021	85997	2719479	34929	
30+AC0-06+AC0-2021	76505	2732242	35040	
01+AC0-07+AC0-2021	65312	2746544	35134	
02+AC0-07+AC0-2021	53871	2760881	35222	
03+AC0-07+AC0-2021	48116	2768632	35308	
04+AC0-07+AC0-2021	44846	2773407	35367	
