DISTRICTCODE,Date,ICU
16,26-06-2020,1
17,26-06-2020,8
18,26-06-2020,1
19,26-06-2020,0
20,26-06-2020,0
21,26-06-2020,0
22,26-06-2020,0
23,26-06-2020,1
24,26-06-2020,2
25,26-06-2020,0
26,26-06-2020,3
27,26-06-2020,0
28,26-06-2020,1
29,26-06-2020,5
30,26-06-2020,0
1,27-06-2020,1
2,27-06-2020,6
3,27-06-2020,2
4,27-06-2020,0
5,27-06-2020,125
6,27-06-2020,6
7,27-06-2020,3
8,27-06-2020,0
9,27-06-2020,1
10,27-06-2020,0
11,27-06-2020,5
12,27-06-2020,2
13,27-06-2020,10
14,27-06-2020,3
15,27-06-2020,4
16,27-06-2020,0
17,27-06-2020,9
18,27-06-2020,1
19,27-06-2020,1
20,27-06-2020,2
21,27-06-2020,0
22,27-06-2020,1
23,27-06-2020,2
24,27-06-2020,1
25,27-06-2020,0
26,27-06-2020,2
27,27-06-2020,4
28,27-06-2020,1
29,27-06-2020,5
30,27-06-2020,0
1,28-06-2020,1
2,28-06-2020,10
3,28-06-2020,2
4,28-06-2020,0
5,28-06-2020,155
6,28-06-2020,8
7,28-06-2020,3
8,28-06-2020,0
9,28-06-2020,1
10,28-06-2020,0
11,28-06-2020,5
12,28-06-2020,2
13,28-06-2020,12
14,28-06-2020,4
15,28-06-2020,3
16,28-06-2020,1
17,28-06-2020,10
18,28-06-2020,2
19,28-06-2020,3
20,28-06-2020,2
21,28-06-2020,0
22,28-06-2020,2
23,28-06-2020,3
24,28-06-2020,1
25,28-06-2020,0
26,28-06-2020,3
27,28-06-2020,4
28,28-06-2020,1
29,28-06-2020,5
30,28-06-2020,0
1,29-06-2020,0
2,29-06-2020,7
3,29-06-2020,2
4,29-06-2020,0
5,29-06-2020,178
6,29-06-2020,8
7,29-06-2020,3
8,29-06-2020,0
9,29-06-2020,1
10,29-06-2020,0
11,29-06-2020,6
12,29-06-2020,2
13,29-06-2020,15
14,29-06-2020,4
15,29-06-2020,6
