date,state,mean_r,p5th,p95th
2023-01-21,Tamil Nadu,0.767,0.594,0.957
2023-01-22,Tamil Nadu,0.861,0.671,1.07
2023-01-23,Tamil Nadu,1.013,0.799,1.248
2023-01-24,Tamil Nadu,0.971,0.757,1.208
2023-01-25,Tamil Nadu,1.407,1.142,1.694
2023-01-26,Tamil Nadu,2.245,1.905,2.608
2023-01-13,Telengana,0.648,0.487,0.828
2023-01-14,Telengana,0.636,0.475,0.818
2023-01-15,Telengana,0.697,0.524,0.89
2023-01-16,Telengana,0.448,0.309,0.609
2023-01-17,Telengana,0.452,0.309,0.618
2023-01-18,Telengana,0.542,0.38,0.728
2023-01-19,Telengana,0.56,0.389,0.756
2023-01-20,Telengana,0.632,0.443,0.849
2023-01-21,Telengana,0.662,0.461,0.894
2023-01-22,Telengana,0.576,0.382,0.803
2023-01-23,Telengana,0.809,0.567,1.086
2023-01-24,Telengana,0.7,0.469,0.968
2023-01-25,Telengana,1.099,0.795,1.442
2023-01-26,Telengana,2.092,1.654,2.572
2023-01-13,Tripura,4.983,0.256,14.929
2023-01-14,Tripura,4.99,0.256,14.947
2023-01-15,Tripura,4.993,0.256,14.959
2023-01-16,Tripura,4.996,0.256,14.966
2023-01-17,Tripura,4.997,0.256,14.971
2023-01-18,Tripura,4.998,0.256,14.974
2023-01-19,Tripura,4.999,0.256,14.976
2023-01-20,Tripura,4.999,0.256,14.977
2023-01-21,Tripura,5,0.256,14.978
2023-01-22,Tripura,5,0.256,14.978
2023-01-23,Tripura,5,0.256,14.978
2023-01-24,Tripura,5,0.256,14.978
2023-01-25,Tripura,5,0.256,14.979
2023-01-26,Tripura,5,0.256,14.979
2023-01-13,Uttar Pradesh,0.567,0.318,0.874
2023-01-14,Uttar Pradesh,0.678,0.391,1.029
2023-01-15,Uttar Pradesh,0.554,0.289,0.888
2023-01-16,Uttar Pradesh,0.466,0.219,0.788
2023-01-17,Uttar Pradesh,0.573,0.285,0.942
2023-01-18,Uttar Pradesh,0.695,0.363,1.115
2023-01-19,Uttar Pradesh,0.586,0.275,0.992
2023-01-20,Uttar Pradesh,0.546,0.238,0.957
2023-01-21,Uttar Pradesh,0.591,0.258,1.036
2023-01-22,Uttar Pradesh,0.533,0.21,0.976
2023-01-23,Uttar Pradesh,0.693,0.302,1.215
2023-01-24,Uttar Pradesh,0.628,0.248,1.15
2023-01-25,Uttar Pradesh,1.368,0.742,2.149
2023-01-26,Uttar Pradesh,3.267,2.212,4.49
2023-01-13,Uttarakhand,0.473,0.235,0.777
2023-01-14,Uttarakhand,0.47,0.221,0.795
2023-01-15,Uttarakhand,0.457,0.199,0.8
2023-01-16,Uttarakhand,0.514,0.224,0.9
2023-01-17,Uttarakhand,1.149,0.663,1.744
2023-01-18,Uttarakhand,1.28,0.738,1.942
2023-01-19,Uttarakhand,1.399,0.807,2.123
2023-01-20,Uttarakhand,1.589,0.94,2.376
2023-01-21,Uttarakhand,1.223,0.664,1.921
2023-01-22,Uttarakhand,1.3,0.729,2.005
