"State","Date","Total Active"
"Meghalaya","2020-08-18","733"
"Meghalaya","2020-08-19","766"
"Meghalaya","2020-08-20","806"
"Meghalaya","2020-08-21","925"
"Meghalaya","2020-08-22","963"
"Meghalaya","2020-08-23","1035"
"Meghalaya","2020-08-24","1133"
"Meghalaya","2020-08-25","1179"
"Meghalaya","2020-08-26","1178"
"Meghalaya","2020-08-27","1168"
"Meghalaya","2020-08-28","1222"
"Meghalaya","2020-08-29","1272"
"Meghalaya","2020-08-30","1238"
"Meghalaya","2020-08-31","1284"
"Meghalaya","2020-09-01","1196"
"Meghalaya","2020-09-02","1193"
"Meghalaya","2020-09-03","1186"
"Meghalaya","2020-09-04","1220"
"Meghalaya","2020-09-05","1252"
"Meghalaya","2020-09-06","1374"
"Meghalaya","2020-09-07","1433"
"Meghalaya","2020-09-08","1457"
"Meghalaya","2020-09-09","1343"
"Meghalaya","2020-09-10","1355"
"Meghalaya","2020-09-11","1434"
"Meghalaya","2020-09-12","1534"
"Meghalaya","2020-09-13","1570"
"Meghalaya","2020-09-14","1623"
"Meghalaya","2020-09-15","1686"
"Meghalaya","2020-09-16","1818"
"Meghalaya","2020-09-17","1902"
"Meghalaya","2020-09-18","1983"
"Meghalaya","2020-09-19","1976"
"Meghalaya","2020-09-20","2038"
"Meghalaya","2020-09-21","2111"
"Meghalaya","2020-09-22","2169"
"Meghalaya","2020-09-23","2047"
"Meghalaya","2020-09-24","2060"
"Meghalaya","2020-09-25","1977"
"Meghalaya","2020-09-26","1772"
"Meghalaya","2020-09-27","1515"
"Meghalaya","2020-09-28","1480"
"Meghalaya","2020-09-29","1448"
"Meghalaya","2020-09-30","1476"
"Meghalaya","2020-10-01","1615"
"Meghalaya","2020-10-02","1750"
"Meghalaya","2020-10-03","1755"
"Meghalaya","2020-10-04","2083"
"Meghalaya","2020-10-05","2209"
"Meghalaya","2020-10-06","2217"
"Meghalaya","2020-10-07","2371"
"Meghalaya","2020-10-08","2411"
"Meghalaya","2020-10-09","2369"
"Meghalaya","2020-10-10","2424"
"Meghalaya","2020-10-11","2437"
"Meghalaya","2020-10-12","2478"
"Meghalaya","2020-10-13","2434"
"Meghalaya","2020-10-14","2367"
"Meghalaya","2020-10-15","2339"
"Meghalaya","2020-10-16","2445"
"Meghalaya","2020-10-17","2493"
"Meghalaya","2020-10-18","2295"
"Meghalaya","2020-10-19","2151"
"Meghalaya","2020-10-20","2069"
"Meghalaya","2020-10-21","2020"
"Meghalaya","2020-10-22","1870"
"Meghalaya","2020-10-23","1661"
"Meghalaya","2020-10-24","1631"
"Meghalaya","2020-10-25","1574"
"Meghalaya","2020-10-26","1605"
"Meghalaya","2020-10-27","1514"
"Meghalaya","2020-10-28","1411"
"Meghalaya","2020-10-29","1364"
"Meghalaya","2020-10-30","1326"
"Meghalaya","2020-10-31","1170"
"Meghalaya","2020-11-01","1019"
"Meghalaya","2020-11-02","1055"
"Meghalaya","2020-11-03","1009"
"Meghalaya","2020-11-04","971"
"Meghalaya","2020-11-05","959"
"Meghalaya","2020-11-06","989"
"Meghalaya","2020-11-07","984"
"Meghalaya","2020-11-08","995"
"Meghalaya","2020-11-09","1034"
"Meghalaya","2020-11-10","1024"
"Meghalaya","2020-11-11","961"
"Meghalaya","2020-11-12","962"
"Meghalaya","2020-11-13","1045"
"Meghalaya","2020-11-14","1028"
"Meghalaya","2020-11-15","1014"
"Meghalaya","2020-11-16","971"
"Meghalaya","2020-11-17","933"
"Meghalaya","2020-11-18","734"
"Meghalaya","2020-11-19","753"
"Meghalaya","2020-11-20","801"
"Meghalaya","2020-11-21","888"
"Meghalaya","2020-11-22","925"
"Meghalaya","2020-11-23","894"
"Meghalaya","2020-11-24","895"
"Meghalaya","2020-11-25","893"
"Meghalaya","2020-11-26","915"
"Meghalaya","2020-11-27","947"
"Meghalaya","2020-11-28","917"
"Meghalaya","2020-11-29","858"
"Meghalaya","2020-11-30","768"
"Meghalaya","2020-12-01","763"
"Meghalaya","2020-12-02","669"
"Meghalaya","2020-12-03","686"
"Meghalaya","2020-12-04","648"
"Meghalaya","2020-12-05","630"
"Meghalaya","2020-12-06","654"
"Meghalaya","2020-12-07","664"
"Meghalaya","2020-12-08","621"
"Meghalaya","2020-12-09","602"
"Meghalaya","2020-12-10","534"
"Meghalaya","2020-12-11","580"
"Meghalaya","2020-12-12","594"
"Meghalaya","2020-12-13","641"
"Meghalaya","2020-12-14","730"
"Meghalaya","2020-12-15","753"
"Meghalaya","2020-12-16","690"
"Meghalaya","2020-12-17","687"
"Meghalaya","2020-12-18","686"
"Meghalaya","2020-12-19","586"
"Meghalaya","2020-12-20","557"
"Meghalaya","2020-12-21","499"
"Meghalaya","2020-12-22","432"
"Meghalaya","2020-12-23","430"
"Meghalaya","2020-12-24","299"
"Meghalaya","2020-12-25","283"
"Meghalaya","2020-12-26","294"
"Meghalaya","2020-12-27","248"
"Meghalaya","2020-12-28","226"
"Meghalaya","2020-12-29","199"
"Meghalaya","2020-12-30","183"
"Meghalaya","2020-12-31","184"
"Meghalaya","2021-01-01","149"
"Meghalaya","2021-01-02","164"
"Meghalaya","2021-01-03","136"
"Meghalaya","2021-01-04","135"
"Meghalaya","2021-01-05","139"
"Meghalaya","2021-01-06","149"
"Meghalaya","2021-01-07","154"
"Meghalaya","2021-01-08","138"
"Meghalaya","2021-01-09","155"
"Meghalaya","2021-01-10","163"
"Meghalaya","2021-01-11","155"
"Meghalaya","2021-01-12","151"
"Meghalaya","2021-01-13","152"
"Meghalaya","2021-01-14","160"
"Meghalaya","2021-01-15","161"
"Meghalaya","2021-01-16","161"
"Meghalaya","2021-01-17","148"
"Meghalaya","2021-01-18","148"
"Meghalaya","2021-01-19","148"
"Meghalaya","2021-01-20","133"
"Meghalaya","2021-01-21","133"
"Meghalaya","2021-01-22","129"
"Meghalaya","2021-01-23","128"
"Meghalaya","2021-01-24","122"
"Meghalaya","2021-01-25","111"
"Meghalaya","2021-01-26","104"
"Meghalaya","2021-01-27","98"
"Meghalaya","2021-01-28","89"
"Meghalaya","2021-01-29","90"
"Meghalaya","2021-01-30","83"
"Meghalaya","2021-01-31","74"
"Meghalaya","2021-02-01","68"
"Meghalaya","2021-02-02","62"
"Meghalaya","2021-02-03","56"
"Meghalaya","2021-02-04","52"
"Meghalaya","2021-02-05","63"
"Meghalaya","2021-02-06","81"
"Meghalaya","2021-02-07","102"
"Meghalaya","2021-02-08","137"
"Meghalaya","2021-02-09","134"
"Meghalaya","2021-02-10","137"
"Meghalaya","2021-02-11","164"
"Meghalaya","2021-02-12","166"
"Meghalaya","2021-02-13","164"
"Meghalaya","2021-02-14","166"
"Meghalaya","2021-02-15","149"
"Meghalaya","2021-02-16","128"
"Meghalaya","2021-02-17","100"
"Meghalaya","2021-02-18","78"
"Meghalaya","2021-02-19","55"
"Meghalaya","2021-02-20","38"
"Meghalaya","2021-02-21","26"
"Meghalaya","2021-02-22","22"
"Meghalaya","2021-02-23","22"
"Meghalaya","2021-02-24","20"
"Meghalaya","2021-02-25","18"
"Meghalaya","2021-02-26","20"
"Meghalaya","2021-02-27","19"
"Meghalaya","2021-02-28","17"
"Meghalaya","2021-03-01","17"
"Meghalaya","2021-03-02","17"
"Meghalaya","2021-03-03","15"
"Meghalaya","2021-03-04","14"
"Meghalaya","2021-03-05","13"
"Meghalaya","2021-03-06","14"
"Meghalaya","2021-03-07","12"
"Meghalaya","2021-03-08","13"
"Meghalaya","2021-03-09","12"
"Meghalaya","2021-03-10","14"
"Meghalaya","2021-03-11","14"
"Meghalaya","2021-03-12","19"
"Meghalaya","2021-03-13","20"
"Meghalaya","2021-03-14","26"
"Meghalaya","2021-03-15","29"
"Meghalaya","2021-03-16","29"
"Meghalaya","2021-03-17","31"
"Meghalaya","2021-03-18","30"
"Meghalaya","2021-03-19","32"
"Meghalaya","2021-03-20","31"
"Meghalaya","2021-03-21","28"
"Meghalaya","2021-03-22","30"
"Meghalaya","2021-03-23","29"
"Meghalaya","2021-03-24","25"
"Meghalaya","2021-03-25","22"
"Meghalaya","2021-03-26","23"
"Meghalaya","2021-03-27","26"
"Meghalaya","2021-03-28","26"
"Meghalaya","2021-03-29","26"
"Meghalaya","2021-03-30","26"
"Meghalaya","2021-03-31","45"
"Meghalaya","2021-04-01","4525"
"Meghalaya","2021-04-02","50"
"Meghalaya","2021-04-03","64"
"Meghalaya","2021-04-04","88"
"Meghalaya","2021-04-05","102"
"Meghalaya","2021-04-06","99"
"Meghalaya","2021-04-07","104"
"Meghalaya","2021-04-08","108"
"Meghalaya","2021-04-09","131"
"Meghalaya","2021-04-10","167"
"Meghalaya","2021-04-11","202"
"Meghalaya","2021-04-12","189"
"Meghalaya","2021-04-13","193"
"Meghalaya","2021-04-14","270"
"Meghalaya","2021-04-15","363"
"Meghalaya","2021-04-16","457"
"Meghalaya","2021-04-17","565"
"Meghalaya","2021-04-18","649"
"Meghalaya","2021-04-19","680"
"Meghalaya","2021-04-20","754"
"Meghalaya","2021-04-21","857"
"Meghalaya","2021-04-22","1021"
"Meghalaya","2021-04-23","1133"
"Meghalaya","2021-04-24","1238"
"Meghalaya","2021-04-25","1244"
"Meghalaya","2021-04-26","1388"
"Meghalaya","2021-04-27","1403"
"Meghalaya","2021-04-28","1456"
"Meghalaya","2021-04-29","1475"
"Meghalaya","2021-04-30","1531"
"Meghalaya","2021-05-01","1592"
"Meghalaya","2021-05-02","1659"
"Meghalaya","2021-05-03","1821"
"Meghalaya","2021-05-04","1884"
"Meghalaya","2021-05-05","2019"
"Meghalaya","2021-05-06","2135"
"Meghalaya","2021-05-07","2351"
"Meghalaya","2021-05-08","2466"
"Meghalaya","2021-05-09","2678"
"Meghalaya","2021-05-10","2899"
"Meghalaya","2021-05-11","3062"
"Meghalaya","2021-05-12","3297"
"Meghalaya","2021-05-13","3381"
"Meghalaya","2021-05-14","3726"
"Meghalaya","2021-05-15","4014"
"Meghalaya","2021-05-16","4338"
"Meghalaya","2021-05-17","4534"
"Meghalaya","2021-05-18","4915"
"Meghalaya","2021-05-19","5332"
"Meghalaya","2021-05-20","5769"
"Meghalaya","2021-05-21","6477"
"Meghalaya","2021-05-22","6861"
"Meghalaya","2021-05-23","7454"
"Meghalaya","2021-05-24","7680"
"Meghalaya","2021-05-25","7788"
"Meghalaya","2021-05-26","7971"
"Meghalaya","2021-05-27","8055"
"Meghalaya","2021-05-28","8255"
"Meghalaya","2021-05-29","8025"
"Meghalaya","2021-05-30","7741"
"Meghalaya","2021-05-31","7496"
"Meghalaya","2021-06-01","6913"
"Meghalaya","2021-06-02","6606"
"Meghalaya","2021-06-03","6403"
"Meghalaya","2021-06-04","6352"
"Meghalaya","2021-06-05","6110"
"Meghalaya","2021-06-06","5797"
"Meghalaya","2021-06-07","5583"
"Meghalaya","2021-06-08","5327"
"Meghalaya","2021-06-09","4924"
"Meghalaya","2021-06-10","4849"
"Meghalaya","2021-06-11","5015"
"Meghalaya","2021-06-12","4993"
"Meghalaya","2021-06-13","4871"
"Meghalaya","2021-06-14","4623"
"Meghalaya","2021-06-15","4529"
"Meghalaya","2021-06-16","4430"
"Meghalaya","2021-06-17","4464"
"Meghalaya","2021-06-18","4609"
"Meghalaya","2021-06-19","4819"
"Meghalaya","2021-06-20","4743"
"Meghalaya","2021-06-21","4587"
"Meghalaya","2021-06-22","4196"
"Meghalaya","2021-06-23","4273"
"Meghalaya","2021-06-24","4312"
"Meghalaya","2021-06-25","4424"
"Meghalaya","2021-06-26","4665"
"Meghalaya","2021-06-27","4668"
"Meghalaya","2021-06-28","4558"
"Meghalaya","2021-06-29","4378"
"Meghalaya","2021-06-30","4263"
"Meghalaya","2021-07-01","4216"
"Meghalaya","2021-07-02","4537"
"Meghalaya","2021-07-03","4652"
"Meghalaya","2021-07-04","4584"
"Meghalaya","2021-07-05","4434"
"Meghalaya","2021-07-06","4354"
"Meghalaya","2021-07-07","4305"
"Meghalaya","2021-07-08","4229"
"Meghalaya","2021-07-09","4391"
"Meghalaya","2021-07-10","4391"
"Meghalaya","2021-07-11","4363"
"Meghalaya","2021-07-12","4365"
"Meghalaya","2021-07-13","4110"
"Meghalaya","2021-07-14","3964"
"Meghalaya","2021-07-15","3925"
"Meghalaya","2021-07-16","3994"
"Meghalaya","2021-07-17","4166"
"Meghalaya","2021-07-18","4080"
"Meghalaya","2021-07-19","3979"
"Meghalaya","2021-07-20","4033"
"Meghalaya","2021-07-21","4044"
"Meghalaya","2021-07-22","4221"
"Meghalaya","2021-07-23","4413"
"Meghalaya","2021-07-24","4539"
"Meghalaya","2021-07-25","4708"
"Meghalaya","2021-07-26","5007"
"Meghalaya","2021-07-27","5084"
"Meghalaya","2021-07-28","5332"
"Meghalaya","2021-07-29","5456"
"Meghalaya","2021-07-30","5750"
"Meghalaya","2021-07-31","5791"
"Meghalaya","2021-08-01","5966"
"Meghalaya","2021-08-02","6043"
"Meghalaya","2021-08-03","5843"
"Meghalaya","2021-08-04","5574"
"Meghalaya","2021-08-05","5516"
"Meghalaya","2021-08-06","5574"
"Meghalaya","2021-08-07","5515"
"Meghalaya","2021-08-08","5323"
"Meghalaya","2021-08-09","5037"
"Meghalaya","2021-08-10","4734"
"Meghalaya","2021-08-11","4427"
"Meghalaya","2021-08-12","4496"
"Meghalaya","2021-08-13","4539"
"Meghalaya","2021-08-14","4513"
"Meghalaya","2021-08-15","3931"
"Meghalaya","2021-08-16","4066"
"Meghalaya","2021-08-17","3761"
"Meghalaya","2021-08-18","3591"
"Meghalaya","2021-08-19","3405"
"Meghalaya","2021-08-20","3421"
"Meghalaya","2021-08-21","3373"
"Meghalaya","2021-08-22","3136"
"Meghalaya","2021-08-23","3062"
"Meghalaya","2021-08-24","2930"
"Meghalaya","2021-08-25","2820"
"Meghalaya","2021-08-26","2815"
"Meghalaya","2021-08-27","2682"
"Meghalaya","2021-08-28","2663"
"Meghalaya","2021-08-29","2710"
"Meghalaya","2021-08-30","2636"
"Meghalaya","2021-08-31","2509"
"Meghalaya","2021-09-01","2326"
"Meghalaya","2021-09-02","2263"
"Meghalaya","2021-09-03","2275"
"Meghalaya","2021-09-04","2295"
"Meghalaya","2021-09-05","2206"
"Meghalaya","2021-09-06","2234"
"Meghalaya","2021-09-07","2104"
"Meghalaya","2021-09-08","1924"
"Meghalaya","2021-09-09","1888"
"Meghalaya","2021-09-10","1970"
"Meghalaya","2021-09-11","2007"
"Meghalaya","2021-09-12","1913"
"Meghalaya","2021-09-13","1813"
"Meghalaya","2021-09-14","1859"
"Meghalaya","2021-09-15","1689"
"Meghalaya","2021-09-16","1664"
"Meghalaya","2021-09-17","1664"
"Meghalaya","2021-09-18","1804"
"Meghalaya","2021-09-19","1876"
"Meghalaya","2021-09-20","1891"
"Meghalaya","2021-09-21","1896"
"Meghalaya","2021-09-22","1878"
"Meghalaya","2021-09-23","1868"
"Meghalaya","2021-09-24","1968"
"Meghalaya","2021-09-25","1990"
"Meghalaya","2021-09-26","1945"
"Meghalaya","2021-09-27","1877"
"Meghalaya","2021-09-28","1752"
"Meghalaya","2021-09-29","1693"
"Meghalaya","2021-09-30","1693"
"Meghalaya","2021-10-01","1619"
"Meghalaya","2021-10-02","1666"
"Meghalaya","2021-10-03","1557"
"Meghalaya","2021-10-04","1547"
"Meghalaya","2021-10-05","1494"
"Meghalaya","2021-10-06","1373"
"Meghalaya","2021-10-07","1310"
"Meghalaya","2021-10-08","1281"
"Meghalaya","2021-10-09","1326"
"Meghalaya","2021-10-10","1223"
"Meghalaya","2021-10-11","1152"
"Meghalaya","2021-10-12","1052"
"Meghalaya","2021-10-13","1021"
"Meghalaya","2021-10-14","923"
"Meghalaya","2021-10-15","892"
"Meghalaya","2021-10-16","893"
"Meghalaya","2021-10-17","877"
"Meghalaya","2021-10-18","845"
"Meghalaya","2021-10-19","777"
"Meghalaya","2021-10-20","740"
"Meghalaya","2021-10-21","761"
"Meghalaya","2021-10-22","735"
"Meghalaya","2021-10-23","698"
"Meghalaya","2021-10-24","695"
"Meghalaya","2021-10-25","639"
"Meghalaya","2021-10-26","587"
"Meghalaya","2021-10-27","529"
"Meghalaya","2021-10-28","507"
"Meghalaya","2021-10-29","516"
"Meghalaya","2021-10-30","482"
"Meghalaya","2021-10-31","461"
"Meghalaya","2021-11-01","431"
"Meghalaya","2021-11-02","426"
"Meghalaya","2021-11-03","412"
"Meghalaya","2021-11-04","381"
"Meghalaya","2021-11-05","391"
"Meghalaya","2021-11-06","391"
"Meghalaya","2021-11-07","377"
"Meghalaya","2021-11-08","363"
"Meghalaya","2021-11-09","349"
"Meghalaya","2021-11-10","319"
"Meghalaya","2021-11-11","318"
"Meghalaya","2021-11-12","273"
"Meghalaya","2021-11-13","296"
"Meghalaya","2021-11-14","277"
"Meghalaya","2021-11-15","263"
"Meghalaya","2021-11-16","255"
"Meghalaya","2021-11-17","263"
"Meghalaya","2021-11-18","266"
"Meghalaya","2021-11-19","271"
"Meghalaya","2021-11-20","286"
"Meghalaya","2021-11-21","290"
"Meghalaya","2021-11-22","280"
"Meghalaya","2021-11-23","296"
"Meghalaya","2021-11-24","297"
"Meghalaya","2021-11-25","356"
"Meghalaya","2021-11-26","339"
"Meghalaya","2021-11-27","335"
"Meghalaya","2021-11-28","308"
"Meghalaya","2021-11-29","301"
"Meghalaya","2021-11-30","285"
"Meghalaya","2021-12-01","294"
"Meghalaya","2021-12-02","298"
"Meghalaya","2021-12-03","296"
"Meghalaya","2021-12-04","296"
"Meghalaya","2021-12-05","246"
"Meghalaya","2021-12-06","244"
"Meghalaya","2021-12-07","246"
"Meghalaya","2021-12-08","251"
"Meghalaya","2021-12-09","240"
"Meghalaya","2021-12-10","218"
"Meghalaya","2021-12-11","216"
"Meghalaya","2021-12-12","214"
"Meghalaya","2021-12-13","223"
"Meghalaya","2021-12-14","203"
"Meghalaya","2021-12-15","138"
"Meghalaya","2021-12-16","140"
"Meghalaya","2021-12-17","140"
"Meghalaya","2021-12-18","126"
"Meghalaya","2021-12-19","118"
"Meghalaya","2021-12-20","113"
"Meghalaya","2021-12-21","94"
"Meghalaya","2021-12-22","87"
"Meghalaya","2021-12-23","77"
"Meghalaya","2021-12-24","80"
"Meghalaya","2021-12-25","77"
"Meghalaya","2021-12-26","68"
"Meghalaya","2021-12-27","64"
"Meghalaya","2021-12-28","59"
"Meghalaya","2021-12-29","60"
"Meghalaya","2021-12-30","52"
"Meghalaya","2021-12-31","61"
"Meghalaya","2022-01-01","67"
"Meghalaya","2022-01-02","73"
"Meghalaya","2022-01-03","75"
"Meghalaya","2022-01-04","73"
"Meghalaya","2022-01-05","97"
"Meghalaya","2022-01-06","145"
"Meghalaya","2022-01-07","212"
"Meghalaya","2022-01-08","262"
"Meghalaya","2022-01-09","328"
"Meghalaya","2022-01-10","394"
"Meghalaya","2022-01-11","448"
"Meghalaya","2022-01-12","578"
"Meghalaya","2022-01-13","701"
"Meghalaya","2022-01-14","784"
"Meghalaya","2022-01-15","898"
"Meghalaya","2022-01-16","991"
"Meghalaya","2022-01-17","1128"
"Meghalaya","2022-01-18","1207"
"Meghalaya","2022-01-19","1318"
"Meghalaya","2022-01-20","1444"
"Meghalaya","2022-01-21","1629"
"Meghalaya","2022-01-22","1782"
"Meghalaya","2022-01-23","2002"
"Meghalaya","2022-01-24","2121"
"Meghalaya","2022-01-25","2257"
"Meghalaya","2022-01-26","2360"
"Meghalaya","2022-01-27","2494"
"Meghalaya","2022-01-28","2415"
"Meghalaya","2022-01-29","2422"
"Meghalaya","2022-01-30","2419"
"Meghalaya","2022-01-31","2353"
"Meghalaya","2022-02-01","2313"
"Meghalaya","2022-02-02","2232"
"Meghalaya","2022-02-03","2075"
"Meghalaya","2022-02-04","2005"
"Meghalaya","2022-02-05","1839"
"Meghalaya","2022-02-06","1645"
"Meghalaya","2022-02-07","1462"
"Meghalaya","2022-02-08","1339"
"Meghalaya","2022-02-09","1208"
"Meghalaya","2022-02-10","1098"
"Meghalaya","2022-02-11","1020"
"Meghalaya","2022-02-12","928"
"Meghalaya","2022-02-13","850"
"Meghalaya","2022-02-14","751"
"Meghalaya","2022-02-15","716"
"Meghalaya","2022-02-16","609"
"Meghalaya","2022-02-17","550"
"Meghalaya","2022-02-18","510"
"Meghalaya","2022-02-19","473"
"Meghalaya","2022-02-20","397"
"Meghalaya","2022-02-21","372"
"Meghalaya","2022-02-22","343"
"Meghalaya","2022-02-23","291"
"Meghalaya","2022-02-24","250"
"Meghalaya","2022-02-25","221"
"Meghalaya","2022-02-26","211"
"Meghalaya","2022-02-27","189"
"Meghalaya","2022-02-28","196"
"Meghalaya","2022-03-01","178"
"Meghalaya","2022-03-02","160"
"Meghalaya","2022-03-03","158"
"Meghalaya","2022-03-04","164"
"Meghalaya","2022-03-05","144"
"Meghalaya","2022-03-06","147"
"Meghalaya","2022-03-07","143"
"Meghalaya","2022-03-08","140"
"Meghalaya","2022-03-09","129"
"Meghalaya","2022-03-10","126"
"Meghalaya","2022-03-11","112"
"Meghalaya","2022-03-12","119"
"Meghalaya","2022-03-13","100"
"Meghalaya","2022-03-14","84"
"Meghalaya","2022-03-15","83"
"Meghalaya","2022-03-16","70"
"Meghalaya","2022-03-17","64"
"Meghalaya","2022-03-18","60"
"Meghalaya","2022-03-19","60"
"Meghalaya","2022-03-20","61"
"Meghalaya","2022-03-21","55"
"Meghalaya","2022-03-22","54"
"Meghalaya","2022-03-23","50"
"Meghalaya","2022-03-24","50"
"Meghalaya","2022-03-25","50"
"Meghalaya","2022-03-26","51"
"Meghalaya","2022-03-27","49"
"Meghalaya","2022-03-28","44"
"Meghalaya","2022-03-29","38"
"Meghalaya","2022-03-30","30"
"Meghalaya","2022-03-31","27"
"Meghalaya","2022-04-01","23"
"Meghalaya","2022-04-02","19"
"Meghalaya","2022-04-03","15"
"Meghalaya","2022-04-04","12"
"Meghalaya","2022-04-05","12"
"Meghalaya","2022-04-06","15"
"Meghalaya","2022-04-07","18"
"Meghalaya","2022-04-08","18"
"Meghalaya","2022-04-09","14"
"Meghalaya","2022-04-10","12"
"Meghalaya","2022-04-11","15"
"Meghalaya","2022-04-12","15"
"Meghalaya","2022-04-13","11"
"Meghalaya","2022-04-14","7"
"Meghalaya","2022-04-15","5"
"Meghalaya","2022-04-16","4"
"Meghalaya","2022-04-17","4"
"Meghalaya","2022-04-18","4"
"Meghalaya","2022-04-19","4"
"Meghalaya","2022-04-20","5"
