Date,Condition,Count
03/11/20,Deceased,123097
04/11/20,Infected,533787
04/11/20,Recovered,7656478
04/11/20,Deceased,123611
05/11/20,Infected,527962
05/11/20,Recovered,7711809
05/11/20,Deceased,124315
06/11/20,Infected,520773
06/11/20,Recovered,7765966
06/11/20,Deceased,124985
07/11/20,Infected,516632
07/11/20,Recovered,7819886
07/11/20,Deceased,125562
08/11/20,Infected,512665
08/11/20,Recovered,7868968
08/11/20,Deceased,126121
09/11/20,Infected,509673
09/11/20,Recovered,7917373
09/11/20,Deceased,126611
10/11/20,Infected,501214
10/11/20,Recovered,7963457
10/11/20,Deceased,127059
11/11/20,Infected,494657
11/11/20,Recovered,8013783
11/11/20,Deceased,127571
12/11/20,Infected,489294
12/11/20,Recovered,8066501
12/11/20,Deceased,128121
13/11/20,Infected,484547
13/11/20,Recovered,8115580
13/11/20,Deceased,128668
14/11/20,Infected,480719
14/11/20,Recovered,8163572
14/11/20,Deceased,129188
15/11/20,Infected,479216
15/11/20,Recovered,8205728
15/11/20,Deceased,129635
16/11/20,Infected,465478
16/11/20,Recovered,8249579
16/11/20,Deceased,130070
17/11/20,Infected,453401
17/11/20,Recovered,8290370
17/11/20,Deceased,130519
18/11/20,Infected,446805
18/11/20,Recovered,8335109
18/11/20,Deceased,130993
19/11/20,Infected,443303
19/11/20,Recovered,8383602
19/11/20,Deceased,131578
20/11/20,Infected,443794
20/11/20,Recovered,8428409
20/11/20,Deceased,132162
21/11/20,Infected,439747
21/11/20,Recovered,8478124
21/11/20,Deceased,132726
22/11/20,Infected,440962
22/11/20,Recovered,8521617
22/11/20,Deceased,133227
23/11/20,Infected,443486
23/11/20,Recovered,8562641
23/11/20,Deceased,133738
24/11/20,Infected,438667
24/11/20,Recovered,8604955
24/11/20,Deceased,134218
25/11/20,Infected,444746
25/11/20,Recovered,8642771
25/11/20,Deceased,134699
26/11/20,Infected,452344
26/11/20,Recovered,8679138
26/11/20,Deceased,135223
27/11/20,Infected,455555
27/11/20,Recovered,8718517
27/11/20,Deceased,135715
28/11/20,Infected,454940
28/11/20,Recovered,8759969
28/11/20,Deceased,136200
29/11/20,Infected,453956
29/11/20,Recovered,8802267
29/11/20,Deceased,136696
30/11/20,Infected,446952
30/11/20,Recovered,8847600
30/11/20,Deceased,137139
01/12/20,Infected,435603
01/12/20,Recovered,8889585
01/12/20,Deceased,137621
02/12/20,Infected,428644
02/12/20,Recovered,8932647
02/12/20,Deceased,138122
03/12/20,Infected,422943
03/12/20,Recovered,8973373
03/12/20,Deceased,138648
04/12/20,Infected,416082
04/12/20,Recovered,9016289
04/12/20,Deceased,139188
05/12/20,Infected,409689
05/12/20,Recovered,9058822
05/12/20,Deceased,139700
06/12/20,Infected,403248
06/12/20,Recovered,9100792
06/12/20,Deceased,140182
07/12/20,Infected,396729
07/12/20,Recovered,9139901
07/12/20,Deceased,140573
08/12/20,Infected,383866
08/12/20,Recovered,9178946
08/12/20,Deceased,140958
09/12/20,Infected,378909
09/12/20,Recovered,9215581
09/12/20,Deceased,141360
10/12/20,Infected,372293
10/12/20,Recovered,9253306
10/12/20,Deceased,141772
11/12/20,Infected,363749
11/12/20,Recovered,9290834
11/12/20,Deceased,142186
12/12/20,Infected,359819
12/12/20,Recovered,9324328
12/12/20,Deceased,142628
13/12/20,Infected,356546
13/12/20,Recovered,9357464
13/12/20,Deceased,143019
14/12/20,Infected,352586
14/12/20,Recovered,9388159
14/12/20,Deceased,143355
15/12/20,Infected,339820
15/12/20,Recovered,9422636
15/12/20,Deceased,143709
16/12/20,Infected,332002
16/12/20,Recovered,9456449
16/12/20,Deceased,144096
17/12/20,Infected,322366
17/12/20,Recovered,9489740
17/12/20,Deceased,144451
18/12/20,Infected,313831
18/12/20,Recovered,9520827
18/12/20,Deceased,144789
19/12/20,Infected,308751
19/12/20,Recovered,9550712
19/12/20,Deceased,145136
20/12/20,Infected,305344
20/12/20,Recovered,9580402
20/12/20,Deceased,145477
21/12/20,Infected,303639
21/12/20,Recovered,9606111
21/12/20,Deceased,145810
22/12/20,Infected,292518
22/12/20,Recovered,9636487
22/12/20,Deceased,146111
23/12/20,Infected,289240
23/12/20,Recovered,9663382
23/12/20,Deceased,146444
24/12/20,Infected,283849
24/12/20,Recovered,9693173
24/12/20,Deceased,146756
25/12/20,Infected,281919
25/12/20,Recovered,9717834
25/12/20,Deceased,147092
26/12/20,Infected,281667
26/12/20,Recovered,9740108
26/12/20,Deceased,147343
27/12/20,Infected,278690
27/12/20,Recovered,9761538
27/12/20,Deceased,147622
28/12/20,Infected,277301
28/12/20,Recovered,9782669
28/12/20,Deceased,147901
29/12/20,Infected,268581
29/12/20,Recovered,9807569
29/12/20,Deceased,148153
30/12/20,Infected,262272
30/12/20,Recovered,9834141
30/12/20,Deceased,148439
31/12/20,Infected,257656
31/12/20,Recovered,9860280
31/12/20,Deceased,148738
01/01/21,Infected,254254
01/01/21,Recovered,9883461
01/01/21,Deceased,148994
02/01/21,Infected,250183
02/01/21,Recovered,9906387
02/01/21,Deceased,149218
03/01/21,Infected,247220
03/01/21,Recovered,9927310
03/01/21,Deceased,149435
04/01/21,Infected,243953
04/01/21,Recovered,9946867
04/01/21,Deceased,149649
05/01/21,Infected,231036
05/01/21,Recovered,9975958
05/01/21,Deceased,149850
06/01/21,Infected,227546
06/01/21,Recovered,9997272
06/01/21,Deceased,150114
07/01/21,Infected,228083
07/01/21,Recovered,10016859
07/01/21,Deceased,150336
08/01/21,Infected,225449
08/01/21,Recovered,10037398
08/01/21,Deceased,150570
09/01/21,Infected,224190
09/01/21,Recovered,10056651
09/01/21,Deceased,150798
10/01/21,Infected,223335
10/01/21,Recovered,10075950
10/01/21,Deceased,150999
11/01/21,Infected,222526
11/01/21,Recovered,10092909
11/01/21,Deceased,151160
12/01/21,Infected,216558
12/01/21,Recovered,10111294
12/01/21,Deceased,151327
13/01/21,Infected,214507
13/01/21,Recovered,10129111
13/01/21,Deceased,151529
14/01/21,Infected,213603
14/01/21,Recovered,10146763
14/01/21,Deceased,151727
15/01/21,Infected,213027
15/01/21,Recovered,10162738
15/01/21,Deceased,151918
16/01/21,Infected,211033
16/01/21,Recovered,10179715
16/01/21,Deceased,152093
17/01/21,Infected,208826
17/01/21,Recovered,10196885
17/01/21,Deceased,152274
18/01/21,Infected,208012
18/01/21,Recovered,10211342
18/01/21,Deceased,152419
19/01/21,Infected,200528
19/01/21,Recovered,10228753
19/01/21,Deceased,152556
20/01/21,Infected,197201
20/01/21,Recovered,10245741
20/01/21,Deceased,152718
21/01/21,Infected,192308
21/01/21,Recovered,10265706
21/01/21,Deceased,152869
22/01/21,Infected,188688
22/01/21,Recovered,10283708
22/01/21,Deceased,153032
23/01/21,Infected,185662
23/01/21,Recovered,10300838
23/01/21,Deceased,153184
24/01/21,Infected,184408
24/01/21,Recovered,10316786
24/01/21,Deceased,153339
25/01/21,Infected,184182
25/01/21,Recovered,10330084
25/01/21,Deceased,153470
26/01/21,Infected,177266
26/01/21,Recovered,10345985
26/01/21,Deceased,153587
27/01/21,Infected,176498
27/01/21,Recovered,10359305
27/01/21,Deceased,153724
28/01/21,Infected,173740
28/01/21,Recovered,10373606
28/01/21,Deceased,153847
29/01/21,Infected,171686
29/01/21,Recovered,10394352
29/01/21,Deceased,154010
30/01/21,Infected,169824
30/01/21,Recovered,10409160
30/01/21,Deceased,154147
31/01/21,Infected,168784
31/01/21,Recovered,10423125
31/01/21,Deceased,154274
01/02/21,Infected,168235
01/02/21,Recovered,10434983
01/02/21,Deceased,154392
02/02/21,Infected,163353
02/02/21,Recovered,10448406
02/02/21,Deceased,154486
03/02/21,Infected,160057
03/02/21,Recovered,10462631
03/02/21,Deceased,154596
04/02/21,Infected,155025
04/02/21,Recovered,10480455
04/02/21,Deceased,154703
05/02/21,Infected,151460
05/02/21,Recovered,10496308
05/02/21,Deceased,154823
06/02/21,Infected,148590
06/02/21,Recovered,10510796
06/02/21,Deceased,154918
07/02/21,Infected,148766
07/02/21,Recovered,10522601
07/02/21,Deceased,154996
08/02/21,Infected,148609
08/02/21,Recovered,10534505
08/02/21,Deceased,155080
09/02/21,Infected,143625
09/02/21,Recovered,10548521
09/02/21,Deceased,155158
