DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
44,08/05/2020,68,33,0,,,,,,
32,09/05/2020,102,44,4,,,,,,
33,09/05/2020,96,74,0,,,,,,
34,09/05/2020,46,29,0,,,,,,
35,09/05/2020,376,168,8,,,,,,
36,09/05/2020,96,43,0,,,,,,
37,09/05/2020,338,134,13,,,,,,
38,09/05/2020,553,218,15,,,,,,
39,09/05/2020,96,61,3,,,,,,
40,09/05/2020,61,60,0,,,,,,
41,09/05/2020,5,0,0,,,,,,
42,09/05/2020,62,23,1,,,,,,
43,09/05/2020,4,0,0,,,,,,
44,09/05/2020,68,33,0,,,,,,
32,10/05/2020,107,45,4,,,,,,
33,10/05/2020,112,74,0,,,,,,
34,10/05/2020,46,31,0,,,,,,
35,10/05/2020,382,176,8,,,,,,
36,10/05/2020,97,43,0,,,,,,
37,10/05/2020,339,137,13,,,,,,
38,10/05/2020,566,239,16,,,,,,
39,10/05/2020,101,62,3,,,,,,
40,10/05/2020,63,60,0,,,,,,
41,10/05/2020,5,0,0,,,,,,
42,10/05/2020,63,25,1,,,,,,
43,10/05/2020,4,0,0,,,,,,
44,10/05/2020,68,33,0,,,,,,
32,11/05/2020,115,45,4,,,,,,
33,11/05/2020,121,74,0,,,,,,
34,11/05/2020,46,31,0,,,,,,
35,11/05/2020,387,198,8,,,,,,
36,11/05/2020,97,45,0,,,,,,
37,11/05/2020,342,142,13,,,,,,
38,11/05/2020,575,267,16,,,,,,
39,11/05/2020,102,76,3,,,,,,
40,11/05/2020,63,60,0,,,,,,
41,11/05/2020,5,2,0,,,,,,
42,11/05/2020,66,25,1,,,,,,
43,11/05/2020,4,0,0,,,,,,
44,11/05/2020,68,33,0,,,,,,
32,12/05/2020,115,48,4,,,,,,
33,12/05/2020,131,74,0,,,,,,
34,12/05/2020,47,31,0,,,,,,
35,12/05/2020,387,198,8,,,,,,
36,12/05/2020,97,46,0,,,,,,
37,12/05/2020,346,177,14,,,,,,
38,12/05/2020,584,284,16,,,,,,
39,12/05/2020,111,76,3,,,,,,
40,12/05/2020,63,60,0,,,,,,
41,12/05/2020,5,3,0,,,,,,
42,12/05/2020,66,25,1,,,,,,
43,12/05/2020,4,0,0,,,,,,
44,12/05/2020,68,34,0,,,,,,
32,13/05/2020,118,49,4,,,,,,
33,13/05/2020,142,74,0,,,,,,
34,13/05/2020,51,35,0,,,,,,
35,13/05/2020,399,225,8,,,,,,
36,13/05/2020,97,56,0,,,,,,
37,13/05/2020,349,202,14,,,,,,
38,13/05/2020,591,297,17,,,,,,
39,13/05/2020,111,77,3,,,,,,
40,13/05/2020,63,60,0,,,,,,
41,13/05/2020,5,4,0,,,,,,
42,13/05/2020,66,25,1,,,,,,
43,13/05/2020,4,0,0,,,,,,
44,13/05/2020,68,38,0,,,,,,
32,14/05/2020,118,52,4,,,,,,
33,14/05/2020,151,77,0,,,,,,
34,14/05/2020,51,35,0,,,,,,
35,14/05/2020,404,246,8,,,,,,
36,14/05/2020,99,56,0,,,,,,
37,14/05/2020,351,203,14,,,,,,
38,14/05/2020,591,316,18,,,,,,
39,14/05/2020,126,78,3,,,,,,
40,14/05/2020,63,60,0,,,,,,
41,14/05/2020,7,4,0,,,,,,
42,14/05/2020,66,25,1,,,,,,
43,14/05/2020,4,0,0,,,,,,
44,14/05/2020,69,40,0,,,,,,
32,15/05/2020,122,56,4,,,,,,
33,15/05/2020,165,77,0,,,,,,
34,15/05/2020,52,35,0,,,,,,
35,15/05/2020,404,257,8,,,,,,
36,15/05/2020,101,63,0,,,,,,
37,15/05/2020,360,206,14,,,,,,
38,15/05/2020,599,343,18,,,,,,
39,15/05/2020,140,81,3,,,,,,
40,15/05/2020,63,60,0,,,,,,
41,15/05/2020,7,4,0,,,,,,
42,15/05/2020,68,25,1,,,,,,
43,15/05/2020,7,0,0,,,,,,
44,15/05/2020,69,45,0,,,,,,
32,16/05/2020,122,93,4,,,,,,
33,16/05/2020,173,77,0,,,,,,
34,16/05/2020,52,38,0,,,,,,
35,16/05/2020,413,257,8,,,,,,
36,16/05/2020,102,65,0,,,,,,
37,16/05/2020,367,211,14,,,,,,
38,16/05/2020,608,390,19,,,,,,
39,16/05/2020,149,81,3,,,,,,
40,16/05/2020,63,63,0,,,,,,
41,16/05/2020,7,4,0,,,,,,
42,16/05/2020,72,26,1,,,,,,
43,16/05/2020,7,0,0,,,,,,
44,16/05/2020,70,48,0,,,,,,
32,17/05/2020,122,71,4,,,,,,
33,17/05/2020,177,77,0,,,,,,
34,17/05/2020,52,39,0,,,,,,
35,17/05/2020,417,275,8,,,,,,
