DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,,,
101,09/09/2020,2014,1664,3,,,,,,,,
102,09/03/2020,1,0,0,,,,,,,,
102,10/03/2020,3,0,0,,,,,,,,
102,12/03/2020,4,0,0,,,,,,,,
102,21/03/2020,7,0,0,,,,,,,,
102,22/03/2020,11,0,0,,,,,,,,
102,23/03/2020,16,1,0,,,,,,,,
102,26/03/2020,25,2,0,,,,,,,,
102,27/03/2020,27,2,0,,,,,,,,
102,29/03/2020,35,2,0,,,,,,,,
102,30/03/2020,46,2,0,,,,,,,,
102,31/03/2020,47,4,0,,,,,,,,
102,01/04/2020,49,4,0,,,,,,,,
102,02/04/2020,50,4,0,,,,,,,,
102,03/04/2020,51,9,0,,,,,,,,
102,04/04/2020,52,16,0,,,,,,,,
102,05/04/2020,53,20,0,,,,,,,,
102,06/04/2020,53,21,0,,,,,,,,
102,07/04/2020,55,26,0,,,,,,,,
102,08/04/2020,59,27,0,,,,,,,,
102,09/04/2020,63,32,0,,,,,,,,
102,10/04/2020,65,38,0,,,,,,,,
102,11/04/2020,72,38,0,,,,,,,,
102,12/04/2020,73,38,0,,,,,,,,
102,13/04/2020,75,39,0,,,,,,,,
102,14/04/2020,79,39,0,,,,,,,,
102,15/04/2020,80,39,0,,,,,,,,
102,16/04/2020,84,40,0,,,,,,,,
102,18/04/2020,87,40,0,,,,,,,,
102,19/04/2020,88,43,0,,,,,,,,
102,20/04/2020,94,43,0,,,,,,,,
102,21/04/2020,104,52,0,,,,,,,,
102,22/04/2020,111,52,0,,,,,,,,
102,23/04/2020,111,53,0,,,,,,,,
102,24/04/2020,111,56,0,,,,,,,,
102,25/04/2020,112,58,0,,,,,,,,
102,26/04/2020,112,59,0,,,,,,,,
102,27/04/2020,113,65,0,,,,,,,,
102,28/04/2020,116,67,0,,,,,,,,
102,29/04/2020,117,70,0,,,,,,,,
102,30/04/2020,117,72,0,,,,,,,,
102,01/05/2020,117,76,0,,,,,,,,
102,02/05/2020,118,82,0,,,,,,,,
102,04/05/2020,118,101,0,,,,,,,,
102,07/05/2020,118,104,0,,,,,,,,
102,08/05/2020,118,114,0,,,,,,,,
102,10/05/2020,118,116,0,,,,,,,,
102,13/05/2020,119,116,0,,,,,,,,
102,14/05/2020,121,117,0,,,,,,,,
102,16/05/2020,121,119,0,,,,,,,,
102,17/05/2020,123,119,0,,,,,,,,
102,18/05/2020,126,119,0,,,,,,,,
102,19/05/2020,131,119,0,,,,,,,,
102,20/05/2020,134,120,0,,,,,,,,
102,21/05/2020,138,120,0,,,,,,,,
102,22/05/2020,150,120,0,,,,,,,,
102,23/05/2020,166,120,0,,,,,,,,
102,24/05/2020,178,120,0,,,,,,,,
102,25/05/2020,188,120,0,,,,,,,,
102,26/05/2020,196,120,1,,,,,,,,
102,27/05/2020,197,120,1,,,,,,,,
102,28/05/2020,207,121,1,,,,,,,,
102,29/05/2020,215,122,1,,,,,,,,
102,30/05/2020,230,123,1,,,,,,,,
102,31/05/2020,237,127,1,,,,,,,,
102,01/06/2020,237,128,1,,,,,,,,
102,02/06/2020,242,129,1,,,,,,,,
102,03/06/2020,244,131,1,,,,,,,,
102,04/06/2020,250,138,1,,,,,,,,
102,06/06/2020,262,143,1,,,,,,,,
102,07/06/2020,264,148,1,,,,,,,,
102,08/06/2020,268,148,1,,,,,,,,
102,09/06/2020,273,148,1,,,,,,,,
102,10/06/2020,277,161,1,,,,,,,,
102,11/06/2020,284,169,2,,,,,,,,
102,12/06/2020,287,170,3,,,,,,,,
102,13/06/2020,301,180,3,,,,,,,,
102,14/06/2020,305,182,3,,,,,,,,
102,15/06/2020,315,203,3,,,,,,,,
102,16/06/2020,322,204,3,,,,,,,,
102,17/06/2020,326,205,3,,,,,,,,
102,18/06/2020,330,209,4,,,,,,,,
102,19/06/2020,338,229,4,,,,,,,,
102,20/06/2020,342,231,4,,,,,,,,
102,21/06/2020,352,234,4,,,,,,,,
102,22/06/2020,355,248,4,,,,,,,,
102,23/06/2020,361,249,4,,,,,,,,
102,24/06/2020,378,259,4,,,,,,,,
102,25/06/2020,387,260,4,,,,,,,,
102,26/06/2020,400,261,4,,,,,,,,
102,27/06/2020,411,274,4,,,,,,,,
102,28/06/2020,437,275,4,,,,,,,,
102,29/06/2020,451,288,4,,,,,,,,
102,30/06/2020,477,290,4,,,,,,,,
102,01/07/2020,504,302,4,,,,,,,,
102,02/07/2020,513,308,4,,,,,,,,
102,03/07/2020,531,321,4,,,,,,,,
102,04/07/2020,566,335,4,,,,,,,,
102,05/07/2020,591,338,4,,,,,,,,
102,06/07/2020,602,348,4,,,,,,,,
102,07/07/2020,621,357,4,,,,,,,,
102,08/07/2020,643,359,4,,,,,,,,
102,09/07/2020,651,373,4,,,,,,,,
102,10/07/2020,674,387,4,,,,,,,,
102,11/07/2020,693,388,4,,,,,,,,
102,12/07/2020,710,407,4,,,,,,,,
102,13/07/2020,754,426,5,,,,,,,,
102,14/07/2020,766,471,5,,,,,,,,
102,15/07/2020,801,476,5,,,,,,,,
102,16/07/2020,824,484,6,,,,,,,,
102,17/07/2020,833,492,6,,,,,,,,
102,18/07/2020,872,529,6,,,,,,,,
102,19/07/2020,885,550,6,,,,,,,,
102,20/07/2020,933,553,6,,,,,,,,
102,21/07/2020,990,563,6,,,,,,,,
102,22/07/2020,1033,563,6,,,,,,,,
102,23/07/2020,1084,570,7,,,,,,,,
102,24/07/2020,1102,678,7,,,,,,,,
102,25/07/2020,1164,714,7,,,,,,,,
102,26/07/2020,1211,784,7,,,,,,,,
102,27/07/2020,1249,816,7,,,,,,,,
102,28/07/2020,1292,831,7,,,,,,,,
102,29/07/2020,1334,834,7,,,,,,,,
102,30/07/2020,1373,881,7,,,,,,,,
